ID,Year_Birth,Income,Kidhome,Teenhome,Dt_Customer,Recency,Total_Conversions,Conversion_Rate,CPA,ROI,Total_Leads,Max_Leads_Source,Z_CostContact,Z_Revenue,NumWebPurchases,NumCatalogPurchases,NumStorePurchases
5524,1957,58138.0,0,0,2012-09-04,58,0,0.0,0.0,266.66666666666663,22,NumCatalogPurchases,3,11,8,10,4
2174,1954,46344.0,1,1,2014-03-08,38,0,0.0,0.0,266.66666666666663,4,NumStorePurchases,3,11,1,1,2
4141,1965,71613.0,0,0,2013-08-21,26,0,0.0,0.0,266.66666666666663,20,NumStorePurchases,3,11,8,2,10
6182,1984,26646.0,1,0,2014-02-10,26,0,0.0,0.0,266.66666666666663,6,NumStorePurchases,3,11,2,0,4
5324,1981,58293.0,1,0,2014-01-19,94,0,0.0,0.0,266.66666666666663,14,NumStorePurchases,3,11,5,3,6
7446,1967,62513.0,0,1,2013-09-09,16,0,0.0,0.0,266.66666666666663,20,NumStorePurchases,3,11,6,4,10
965,1971,55635.0,0,1,2012-11-13,34,0,0.0,0.0,266.66666666666663,17,NumWebPurchases,3,11,7,3,7
6177,1985,33454.0,1,0,2013-05-08,32,0,0.0,0.0,266.66666666666663,8,NumWebPurchases,3,11,4,0,4
4855,1974,30351.0,1,0,2013-06-06,19,0,0.0,0.0,266.66666666666663,5,NumWebPurchases,3,11,3,0,2
5899,1950,5648.0,1,1,2014-03-13,68,1,1.0,3.0,266.66666666666663,1,NumWebPurchases,3,11,1,0,0
1994,1983,51381.5,1,0,2013-11-15,11,0,0.0,0.0,266.66666666666663,3,NumStorePurchases,3,11,1,0,2
387,1976,7500.0,0,0,2012-11-13,59,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
2125,1959,63033.0,0,0,2013-11-15,82,0,0.0,0.0,266.66666666666663,15,NumStorePurchases,3,11,3,4,8
8180,1952,59354.0,1,1,2013-11-15,53,0,0.0,0.0,266.66666666666663,12,NumWebPurchases,3,11,6,1,5
2569,1987,17323.0,0,0,2012-10-10,38,0,0.0,0.0,266.66666666666663,4,NumStorePurchases,3,11,1,0,3
2114,1946,82800.0,0,0,2012-11-24,23,2,1.0,1.5,266.66666666666663,25,NumStorePurchases,3,11,7,6,12
9736,1980,41850.0,1,1,2012-12-24,51,0,0.0,0.0,266.66666666666663,6,NumWebPurchases,3,11,3,0,3
4939,1946,37760.0,0,0,2012-08-31,20,0,0.0,0.0,266.66666666666663,11,NumStorePurchases,3,11,4,1,6
6565,1949,76995.0,0,1,2013-03-28,91,1,1.0,3.0,266.66666666666663,24,NumWebPurchases,3,11,11,4,9
2278,1985,33812.0,1,0,2012-11-03,86,0,0.0,0.0,266.66666666666663,6,NumStorePurchases,3,11,2,1,3
9360,1982,37040.0,0,0,2012-08-08,41,0,0.0,0.0,266.66666666666663,11,NumStorePurchases,3,11,4,2,5
5376,1979,2447.0,1,0,2013-01-06,42,0,0.0,0.0,266.66666666666663,28,NumCatalogPurchases,3,11,0,28,0
1993,1949,58607.0,0,1,2012-12-23,63,1,1.0,3.0,266.66666666666663,14,NumStorePurchases,3,11,2,3,9
4047,1954,65324.0,0,1,2014-01-11,0,0,0.0,0.0,266.66666666666663,17,NumStorePurchases,3,11,6,2,9
1409,1951,40689.0,0,1,2013-03-18,69,0,0.0,0.0,266.66666666666663,13,NumWebPurchases,3,11,7,1,5
7892,1969,18589.0,0,0,2013-01-02,89,0,0.0,0.0,266.66666666666663,6,NumStorePurchases,3,11,2,1,3
2404,1976,53359.0,1,1,2013-05-27,4,0,0.0,0.0,266.66666666666663,10,NumWebPurchases,3,11,5,1,4
5255,1986,51381.5,1,0,2013-02-20,19,0,0.0,0.0,266.66666666666663,27,NumWebPurchases,3,11,27,0,0
9422,1989,38360.0,1,0,2013-05-31,26,0,0.0,0.0,266.66666666666663,7,NumStorePurchases,3,11,2,1,4
1966,1965,84618.0,0,0,2013-11-22,96,1,1.0,3.0,266.66666666666663,25,NumStorePurchases,3,11,6,9,10
6864,1989,10979.0,0,0,2014-05-22,34,0,0.0,0.0,266.66666666666663,6,NumWebPurchases,3,11,3,0,3
3033,1963,38620.0,0,0,2013-05-11,56,0,0.0,0.0,266.66666666666663,10,NumCatalogPurchases,3,11,2,5,3
5710,1970,40548.0,0,1,2012-10-10,31,1,1.0,3.0,266.66666666666663,7,NumStorePurchases,3,11,2,1,4
7373,1952,46610.0,0,2,2012-10-29,8,0,0.0,0.0,266.66666666666663,11,NumStorePurchases,3,11,4,1,6
8755,1946,68657.0,0,0,2013-02-20,4,0,0.0,0.0,266.66666666666663,17,NumStorePurchases,3,11,3,5,9
10738,1951,49389.0,1,1,2013-08-29,55,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
4339,1970,67353.0,0,1,2013-12-31,37,0,0.0,0.0,266.66666666666663,23,NumStorePurchases,3,11,5,6,12
10755,1976,23718.0,1,0,2013-09-02,76,0,0.0,0.0,266.66666666666663,6,NumWebPurchases,3,11,3,1,2
8595,1973,42429.0,0,1,2014-02-11,99,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,1,1,3
2968,1943,48948.0,0,0,2013-02-01,53,1,1.0,3.0,266.66666666666663,22,NumCatalogPurchases,3,11,7,10,5
8601,1980,80011.0,0,1,2013-04-29,3,0,0.0,0.0,266.66666666666663,19,NumWebPurchases,3,11,8,6,5
503,1985,20559.0,1,0,2013-03-12,88,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
8430,1957,21994.0,0,1,2012-12-24,4,0,0.0,0.0,266.66666666666663,3,NumStorePurchases,3,11,0,0,3
7281,1959,51381.5,0,0,2013-11-05,80,0,0.0,0.0,266.66666666666663,8,NumStorePurchases,3,11,1,3,4
2139,1975,7500.0,1,0,2013-10-02,19,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
1371,1976,79941.0,0,0,2014-06-28,72,0,0.0,0.0,266.66666666666663,15,NumStorePurchases,3,11,2,4,9
9909,1996,7500.0,0,0,2012-11-09,24,0,0.0,0.0,266.66666666666663,7,NumWebPurchases,3,11,3,1,3
7286,1968,41728.0,1,0,2013-05-24,92,0,0.0,0.0,266.66666666666663,4,NumWebPurchases,3,11,2,0,2
7244,1951,51381.5,2,1,2014-01-01,96,0,0.0,0.0,266.66666666666663,7,NumStorePurchases,3,11,2,1,4
6566,1954,72550.0,1,1,2012-11-08,39,0,0.0,0.0,266.66666666666663,19,NumStorePurchases,3,11,5,2,12
8614,1957,65486.0,0,1,2014-05-12,29,0,0.0,0.0,266.66666666666663,16,NumStorePurchases,3,11,4,2,10
4114,1964,79143.0,0,0,2012-08-11,2,0,0.0,0.0,266.66666666666663,28,NumStorePurchases,3,11,6,9,13
1331,1977,35790.0,1,0,2013-01-02,54,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
2225,1977,82582.0,0,0,2014-06-07,54,2,1.0,1.5,266.66666666666663,20,NumCatalogPurchases,3,11,4,9,7
9381,1978,66373.0,1,1,2013-06-12,57,0,0.0,0.0,266.66666666666663,16,NumStorePurchases,3,11,4,2,10
6260,1955,82384.0,0,0,2012-11-19,55,1,1.0,3.0,266.66666666666663,26,NumStorePurchases,3,11,3,10,13
10383,1966,70287.0,0,0,2013-04-02,30,0,0.0,0.0,266.66666666666663,20,NumStorePurchases,3,11,5,5,10
7437,1988,27938.0,1,0,2014-04-28,31,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,1,0,4
8557,1982,51381.5,1,0,2013-06-17,57,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
8375,1968,55954.0,0,1,2014-03-03,63,0,0.0,0.0,266.66666666666663,16,NumWebPurchases,3,11,8,2,6
6853,1982,75777.0,0,0,2013-07-04,12,2,1.0,1.5,266.66666666666663,20,NumStorePurchases,3,11,3,6,11
3076,1975,66653.0,1,1,2012-09-07,18,0,0.0,0.0,266.66666666666663,18,NumStorePurchases,3,11,4,2,12
1012,1952,61823.0,0,1,2013-02-18,26,0,0.0,0.0,266.66666666666663,20,NumStorePurchases,3,11,8,2,10
6518,1951,67680.0,0,1,2013-06-11,8,0,0.0,0.0,266.66666666666663,18,NumStorePurchases,3,11,7,3,8
4137,1948,70666.0,0,0,2013-12-06,29,0,0.0,0.0,266.66666666666663,15,NumWebPurchases,3,11,7,4,4
8082,1971,25721.0,1,0,2013-05-21,75,0,0.0,0.0,266.66666666666663,4,NumStorePurchases,3,11,1,1,2
1386,1967,32474.0,1,1,2014-05-11,0,0,0.0,0.0,266.66666666666663,3,NumStorePurchases,3,11,1,0,2
9369,1979,88194.0,0,1,2014-03-19,19,2,1.0,1.5,266.66666666666663,31,NumWebPurchases,3,11,11,10,10
4477,1958,69096.0,0,1,2013-09-27,4,0,0.0,0.0,266.66666666666663,17,NumStorePurchases,3,11,5,2,10
1357,1970,74854.0,1,2,2013-04-08,90,0,0.0,0.0,266.66666666666663,12,NumCatalogPurchases,3,11,2,5,5
1402,1954,66991.0,0,0,2012-09-11,1,0,0.0,0.0,266.66666666666663,18,NumCatalogPurchases,3,11,4,8,6
10629,1973,51381.5,1,0,2012-09-14,25,0,0.0,0.0,266.66666666666663,6,NumWebPurchases,3,11,3,0,3
6312,1959,65031.0,0,1,2013-03-17,29,0,0.0,0.0,266.66666666666663,26,NumStorePurchases,3,11,10,3,13
8132,1975,60631.0,1,1,2013-04-05,88,1,1.0,3.0,266.66666666666663,19,NumWebPurchases,3,11,9,2,8
