ID,Year_Birth,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,total_spent,total_purchases,ROI,Total_Conversions,Conversion_Rate,CPA,Total_Leads,Max_Leads_Source,Total_Purchases,Total_Spent
5524,1957,58138.0,0,0,2012-09-04,58,0.4253181513730743,0.44221105527638194,0.3165217391304348,0.6640926640926641,0.33460076045627374,0.2430939226519337,3,8,10,4,7,0,0,0,0,0,0,3,11,1,False,False,True,False,False,False,False,False,False,True,False,False,False,1617,22,266.66666666666663,0,0.0,0.0,22,NumCatalogPurchases,22,2.425838292980762
2174,1954,46344.0,1,1,2014-03-08,38,0.007367716008037508,0.005025125628140704,0.003478260869565217,0.007722007722007722,0.0038022813688212928,0.016574585635359115,2,1,1,2,5,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,True,False,False,False,27,4,266.66666666666663,0,0.0,0.0,4,NumStorePurchases,4,0.043969977231931565
4141,1965,71613.0,0,0,2013-08-21,26,0.2853315472203617,0.24623115577889448,0.0736231884057971,0.4285714285714286,0.07984790874524715,0.11602209944751381,1,8,2,10,4,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,776,20,266.66666666666663,0,0.0,0.0,20,NumStorePurchases,20,1.2296273281692427
6182,1984,26646.0,1,0,2014-02-10,26,0.007367716008037508,0.020100502512562814,0.011594202898550725,0.03861003861003861,0.011406844106463879,0.013812154696132596,2,2,0,4,6,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,53,6,266.66666666666663,0,0.0,0.0,6,NumStorePurchases,6,0.10289145883178613
5324,1981,58293.0,1,0,2014-01-19,94,0.115874079035499,0.21608040201005024,0.06840579710144927,0.1776061776061776,0.10266159695817491,0.04143646408839779,5,5,3,6,5,0,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,422,14,266.66666666666663,0,0.0,0.0,14,NumStorePurchases,14,0.7220645167997488
7446,1967,62513.0,0,1,2013-09-09,16,0.348292029470864,0.21105527638190955,0.05681159420289855,0.0,0.1596958174904943,0.03867403314917127,2,6,4,10,6,0,0,0,0,0,0,3,11,0,False,False,False,True,False,False,False,False,False,False,True,False,False,716,20,266.66666666666663,0,0.0,0.0,20,NumStorePurchases,20,0.8145287506953378
965,1971,55635.0,0,1,2012-11-13,34,0.15740120562625587,0.32663316582914576,0.09507246376811594,0.19305019305019305,0.18631178707224336,0.07458563535911603,4,7,3,7,6,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,True,False,False,False,False,False,590,17,266.66666666666663,0,0.0,0.0,17,NumWebPurchases,17,1.03305445070507
6177,1985,33454.0,1,0,2013-05-08,32,0.050904219691895514,0.05025125628140704,0.03246376811594203,0.011583011583011584,0.0038022813688212928,0.06353591160220995,2,4,0,4,8,0,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,169,8,266.66666666666663,0,0.0,0.0,8,NumWebPurchases,8,0.21254044864328742
4855,1974,30351.0,1,0,2013-06-06,19,0.009377093101138647,0.0,0.013913043478260868,0.011583011583011584,0.011406844106463879,0.0055248618784530384,1,3,0,2,9,0,0,0,0,0,0,3,11,1,False,False,False,False,True,False,False,False,False,False,True,False,False,46,5,266.66666666666663,0,0.0,0.0,5,NumWebPurchases,5,0.05180485414732802
5899,1950,5648.0,1,1,2014-03-13,68,0.018754186202277295,0.0,0.003478260869565217,0.003861003861003861,0.0038022813688212928,0.03591160220994475,1,1,0,0,20,1,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,False,False,True,False,False,49,1,266.66666666666663,1,1.0,3.0,1,NumWebPurchases,1,0.06580733451161241
